Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Atlanta Braves,1,1900,Boston Beaneaters,BBN,,8,NL,,66,72,0.47826087,none,4,,n,,South End Grounds III,202000,2767,5th of 8,$,111,112,
Chicago Cubs,2,1900,Chicago Orphans,CHO,,2,NL,,65,75,0.464285714,none,6,,n ,,West Side Grounds,248577,3228,4th of 8,$,98,96,
Cincinnati Reds,3,1900,Cincinnati Reds,CIN,,3,NL,,62,77,0.446043165,none,7,,n,,League Park II,170000,2698,6th of 8,$,99,98,
Philadelphia Phillies,6,1900,Philadelphia Phillies,PHI,,1,NL,,75,63,0.543478261,none,3,,n ,,Baker Bowl,301913,4313,1st of 8,$,98,99,
Pittsburgh Pirates,4,1900,Pittsburgh Pirates,PIT,,1,NL,,79,60,0.568345324,none,2,,n,,Exposition Park III,264000,3771,2nd of 8,$,98,101,
San Francisco Giants,7,1900,New York Giants,NYG,,2,NL,,60,78,0.434782609,none,8,,n,,Polo Grounds IV,190000,2676,7th of 8,$,98,95,
St. Louis Cardinals,5,1900,St. Louis Cardinals,STL,,1,NL,,65,75,0.464285714,none,5,,n,,Robison Field,270000,3750,3rd of 8,$,98,99,
Los Angeles Dodgers,8,1900,Brooklyn Superbas,BKS,,6,NL,,82,54,0.602941176,toppct,1,,n ,,Washington Park III,183000,2507,8th of 8,$,104,106,
Atlanta Braves,1,1901,Boston Beaneaters,,,8,NL,,69,69,0.5,none,5,,n,,South End Grounds III,146502,2093,8th of 8,$,109,109,
Baltimore Orioles,9,1901,Milwaukee Brewers,MLW,,3,AL,,48,89,0.350364964,none,8,,n ,,Lloyd Street Grounds,139034,1986,7th of 8,$,98,95,
Boston Red Socks,10,1901,Boston Americans,BSA,,2,AL,,79,57,0.580882353,none,2,,n,,Huntington Avenue Baseball Grounds,289448,4195,2nd of 8,$,96,98,
Chicago Cubs,2,1901,Chicago Orphans,,,2,NL,,53,86,0.381294964,none,6,,n ,,West Side Grounds,205071,2930,5th of 8,$,98,96,
Cincinnati Reds,3,1901,Cincinnati Reds,,,3,NL,,52,87,0.374100719,none,8,,n,,League Park II,205728,2857,7th of 8,$,96,94,
Cleveland Indians,12,1901,Cleveland Blues,CBL,,4,AL,,54,82,0.397058824,none,7,,n,,League Park I,131380,1904,8th of 8,$,97,96,
Detroit Tigers,13,1901,Detroit Tigers,DET,,1,AL,,74,61,0.548148148,none,3,,n ,,Bennett Park &  Burns Park,259430,3706,3rd of 8,$,105,105,
Los Angeles Dodgers,8,1901,Brooklyn Superbas,,,6,NL,,79,57,0.580882353,none,3,,n ,,Washington Park III,198200,2915,6th of 8,$,101,103,
